document_id,paragraph_id,doc_str,term_count
01_004_12c_022,4,good lot strong elements feedback students misunderstandings time student something correct question question example excited lie detector results able go text find new student intern new student intern text student intern let go text see great job misunderstandings questions feedback kind continue ask questions feedback loop students correct good job feedback students text answer continue ask students questions make thinking clear example nervous appropriate text heart heart beat feel uneasy feel excited something look tell ask questions mean heart pounds way kind ask questions make clearer encourage students think kind continue question read text able see something nervous text continue descriptive feedback descriptive feedback ask,127
01_004_12c_022,5,lot sense,2
01_004_12c_022,6,question reporter example lot information reporter secretive want talk press ask maybe ask make thinking clear,14
01_004_12c_022,7,um something lines kind agreed reasoning specific example much sort secrecy go many sort secretive measures stuff,8
01_004_12c_022,8,make text connections question particular lot evidence reporter spy little harder think questions ask beginning nervous hearts kind heart mean know clammy hands clammy hands clammy kind help text self connections kind probe signal nervous um lot things questioning students seconds kind continue think feedback something student clear something kind make sense,53
01_004_12c_022,10,little blurry give descriptive feedback thank things make sure connections ready round go begin alright,14
01_004_12c_023,1,go feel,1
01_004_12c_023,2,good,1
01_004_12c_023,3,part highlight beginning answer nervous think nervous text great textual evidence thinking become visual question wrong good job sure textual evidence answer wrong see thinking help practice skill textual evidence work students incorrect answers students incorrect answer model put chat follow let say think answer excited new job incorrect answer say thank evidence text tell something keep next question evidence text tell something different reason evidence give answer evidence textual evidence question ethan answer wrong go look opportunity go text practice textual evidence scaffold additional scaffold say read paragraph learn guide evidence,118
01_004_12c_023,4,use materials think answers discourage make feel dumb right answer thank thoughts answer kind guide right answer,18
01_004_12c_023,5,get mistakes make mistakes work happen case let practice let practice teacher student question ask likely feeling lie detector result,29
01_004_12c_023,6,ready likely feeling lie detector results,10
01_004_12c_023,7,calm,1
01_004_12c_023,8,thank think text answer,6
01_004_12c_023,9,paragraph,1
01_004_12c_023,10,lot times calm ease evidence text tell something different,11
01_004_12c_023,11,paragraph heart chest nervous,7
01_004_12c_023,12,right heart loud fast nervous good text tell great work text find answer,13
01_004_12c_023,13,scene great job student scaffolds practice next simulation opportunity simulation beginning questions,13
01_004_12c_023,14,think,1
01_004_12c_026,1,think,1
01_004_12c_026,2,right little hard know say right let look kind try redirect thoughts,17
01_004_12c_026,3,agree glow grow little bit good job student wrong redirect students let mestart timer students wrong want like encourage misconceptions let think good job student right question prompt find right answer text paragraph kind build look little bit power hands make sense,54
01_004_12c_026,4,sure kind,2
01_004_12c_026,5,think excited new job feel text paragraph exciting thing read paragraph kind look case look refer question question feel lie detector results find part text lie detector results student little bit heart clammy ask follow question think think heart's pounding think hands clammy way kind students little bit power look text text make sense,75
01_004_12c_026,6,great great idea thank,4
01_004_12c_026,7,text point point students dig next question next student kind misconception new student intern um kind follow pattern say read paragraph think able point right direction student intern exact paragraph look,39
01_004_12c_026,8,similar strategy strategy yes text say new student intern kind conveys text outright like,16
01_004_12c_026,11,say part text think student intern find kind good job continue text follow dialogue continue text find evidence student intern way come paragraph,28
01_004_12c_026,12,sure idea,2
01_004_12c_026,13,make sense,3
01_004_12c_026,14,thank,1
01_004_12c_026,15,little bit time practice scenario ask question say relaxed say response,15
01_004_12c_026,16,ask text feel hold likely feel life results um,11
01_004_12c_026,17,relaxed,1
01_004_12c_026,18,say ask cite text,3
01_004_12c_026,19,say paragraph relaxed,5
01_004_12c_026,20,ok say question likely feel lie detector results find text paragraph lie results,19
01_004_12c_026,21,lie detector results beforehand go find great give students something point right direction time give little bit authority find practice next round turn camera good,25
01_004_12c_026,22,thank,1
01_004_12c_029,2,go,0
01_004_12c_029,3,good simulation behavioral nice change talk,6
01_004_12c_029,4,god great job much great things say thing students give textual evidence job student textual evidence student textual evidence key something answer new student intern evidence text new student intern great question great way follow anyone answer onus next student question find textual evidence moment,51
01_004_12c_029,6,talk today model way students misunderstandings students wrong answer teachers students strategies use,18
01_004_12c_029,7,appropriate kind work ask show thinking questions conclusion situation helpful lead point point specific section text bring say reread part anything changes thinking seem need little bit support shift student,26
01_004_12c_029,8,great great strategies drop text model explain model excited new job excited new job response evidence text tell first thing right ask textual evidence give textual evidence follow second time evidence texts tell something different keys first answer continue text like struggle part read learn text way,51
01_004_12c_029,9,like high expectation student support take ownership idea thinking right answer feel successful want embarrass get peer way let get right answer like build confidence hold accountable like think,24
01_004_12c_029,10,something important stamp culture mistakes normalized everyone make mistakes opportunity work let practice teacher ask likely feeling lie detector results student,26
01_004_12c_029,11,ok likely feel lie detector results,10
01_004_12c_029,12,calm,1
01_004_12c_029,13,calm evidence text,4
01_004_12c_029,14,paragraph,1
01_004_12c_029,15,yes go little bit take look,5
01_004_12c_029,16,paragraph heart chest nervous,7
01_004_12c_029,17,lie detector results right scared nervous sorry end scene job job push allow student struggle find evidence scaffold look part text time try simulation chance try simulation beginning questions close door,36
01_004_12c_029,19,thank ready thank question,4
01_004_12c_029,20,question way beginning alrighty,3
01_004_12c_031,2,hi,0
01_004_12c_031,3,go,0
01_004_12c_031,5,stamp make sure students ask textual evidence good students go answer like think students wrong answer think push textual evidence today work students incorrect answer fix misunderstandings purpose fix misunderstandings build culture mistakes things students,48
01_004_12c_031,6,kind thinking look text kind prompt look let look little closer text feel lie detector results look text see kind thing,28
01_004_12c_031,7,text great tool talk look text support students text textual evidence real key skill students learn understand model drop model chat access,27
01_004_12c_031,8,thank,1
01_004_12c_031,9,excited new job incorrect answer say thank evidence text tell something give evidence text next thing give evidence claim give claim wrong claim wrong evidence get second opportunity go text find textual evidence evidence text tell something different prompt answer correct go look evidence give evidence third scaffold read read paragraph learn first step give textual evidence see second step text continue textual evidence practicing skill third step textual evidence practice comprehension understand,80
01_004_12c_031,10,lot sense thank,3
01_004_12c_031,11,think,1
01_004_12c_031,12,kind prompts understand mistake use skill use skills look text determine wrong different answer kind,15
01_004_12c_031,13,let practice teacher ask likely feeling lie detector results student go ask question ready,24
01_004_12c_031,14,likely feel lie detector results,9
01_004_12c_031,15,calm,1
01_004_12c_031,16,evidence text tell,5
01_004_12c_031,17,paragraph calm happy,3
01_004_12c_031,18,let take look paragraph tell,6
01_004_12c_031,19,paragraph tells nervous tell take look give chance,5
01_004_12c_031,20,evidence ask evidence text tell something different,10
01_004_12c_031,21,let practice question evidence text tell something different paragraph heart chest nervous,19
01_004_12c_031,22,good read paragraph tell,5
01_004_12c_031,23,end scene great job ready evidence answer evidence next step,11
01_004_12c_031,25,next time practices second time second time say simulation make sure students chances go text find textual evidence second time,22
01_004_12c_031,27,ready second simulation,4
01_004_12c_035,1,go,0
01_004_12c_035,2,oh man need kind know feedback kind overcompensate think great job,10
01_004_12c_035,3,interesting beginning push continue take,4
01_004_12c_035,5,talk moment beginning textual evidence,6
01_004_12c_035,6,take notes real quick hold give second,6
01_004_12c_035,7,worries,1
01_004_12c_035,9,beginning nervous nervous great observation text nervous key idea visual text sta stamp learning able state claim provide textual evidence show skill kids develop push students wrong answer,28
01_004_12c_035,11,combination things take thing tell textual evidence push students think think answer probe textual evidence,18
01_004_12c_035,13,tell things students get things,5
01_004_12c_035,14,kind build bottom confusion answer spy receptionist information help kind like sift part correct let find let get right path wrong turn information figure kind incorrect conclusion thing correct find see nervous right let expand let guide kind,31
01_004_12c_035,15,today model drop model text chat box read loud excited new job first thing teacher say evidence text tell text give wrong evidence text give evidence text answer wrong critical thinking skills connections fine critical send text evidence text tell something different let answer find additional information double give many opportunities find correct answers,56
01_004_12c_035,17,answer guide say read paragraph learn chance second chance textual evidence focus,16
01_004_12c_035,18,ask ask twice kind provi place sorry ask twice provide scaffold end,9
01_004_12c_035,20,third round,1
01_004_12c_035,21,let practice,3
01_004_12c_035,23,student teacher,3
01_004_12c_035,25,ask likely feeling lie detector results,11
01_004_12c_035,26,likely feeling lie detector results,9
01_004_12c_035,27,calm,1
01_004_12c_035,28,thanks text calm,4
01_004_12c_035,29,paragraph,1
01_004_12c_035,30,alright evidence go find evidence text tell something different,10
01_004_12c_035,31,paragraph heart chest nervous,7
01_004_12c_035,32,read paragraph see,3
01_004_12c_035,33,great job,3
01_004_12c_035,34,thank,1
01_004_12c_035,35,job script practice scena pacing right answer ready send additional send look additonal evidence,11
01_004_12c_035,37,thinking,1
01_004_12c_035,40,know stop go whole thing,3
01_004_12c_035,41,go whole thing worries,2
01_004_12c_035,43,give chance try simulation beginning questions,9
01_004_12c_035,44,moment spy reporter kind kid kid reporter great idea think like take stance like answers know answer,16
01_004_12c_035,45,teacher situation think take stance,3
01_004_12c_035,47,answer question,3
01_004_12c_035,48,cool,1
01_004_12c_037,1,go,0
01_004_12c_037,2,solid tendency like restate something many times sure find things terms,5
01_004_12c_037,3,good things good add first thing student answer correct tell nervous tell way student answer incorrect excited new job system help push find textual evidence show thinking good job students use textual evidence good continue students students incorrect answer,51
01_004_12c_037,4,correct,1
01_004_12c_037,5,answer,1
01_004_12c_037,6,yep,1
01_004_12c_037,7,perfect something good add give textual evidence textual evidence good handle text add today create additional add additional step students textual evidence,23
01_004_12c_037,10,yep,1
01_004_12c_037,11,model student student give correct answer first drop chat follow,11
01_004_12c_037,13,excited job first thing thank push give textual evidence text evidence text tell next thing assume give wrong textual evidence wrong claim textual evidence claim give give evidence something different tell evidence text tell something different repeat evidence text tell something different reason give textual evidence skill important students give second opportunity practice skill student say paragraph learn learn,70
01_004_12c_037,15,bread top button bottom bun burger middle piece burger,2
01_004_12c_037,16,sense,1
01_004_12c_037,17,prac think practice,2
01_004_12c_037,18,think,1
01_004_12c_037,19,think,1
01_004_12c_037,20,students chance struggle work answers bad habit,6
01_004_12c_037,21,struggle develop practice skills answer practice student teacher question ask likely feeling lie detector results,23
01_004_12c_037,23,ask question ready,4
01_004_12c_037,24,alright likely feel lie detector results,10
01_004_12c_037,25,calm,1
01_004_12c_037,26,calm evidence text tell calm,7
01_004_12c_037,27,paragraph,1
01_004_12c_037,28,good good evidence text take look text see evidence text tell something different,18
01_004_12c_037,29,right top paragraph heart chest something different nervous,8
01_004_12c_037,30,excellent job excellent job evidence evidence build original idea awesome,10
01_004_12c_037,31,perfect great job change anything practice time practice second simulation,13
01_004_12c_037,32,good questions thing,3
01_004_12c_037,33,simulation questions thing time practice skill students wrong answer,12
01_004_12c_037,34,awesome,1
01_004_12c_037,35,alright let know ready begin simulation,9
01_004_12c_037,36,ready,1
01_004_12c_041,1,last question think,3
01_004_12c_041,2,misunderstandings,1
01_004_12c_041,3,um agree students misunderstanding able point right direction text example right talk lie detector results paragraph student right direction clarify misunderstanding students look give little bit agency authority look evidence help clarify misunderstandings tell look ask questions feedback loop kind point right direction questions make sure agency students uncover misconceptions understand um continue example excited paragraph lie detector results question leave need point paragraph say lie detector results feel look paragraph paragraph much anything kind find evidence kind continue questions ask heart pounding make feel nervous part feedback loop take piece student walk nice segway kind nice transition well student intern um respond student student intern respond go paragraph,131
01_004_12c_041,4,hmm say,2
01_004_12c_041,5,bring kind responses lie detector test nervous text text student intern see text student look cover cover student intern kind proceed well cases students come reporter spy things students get noted students kind long answers reporter many people reporter good job kind understanding clear oh inferences spy movies real life continue ask questions feedback loop behavior text think spy kind continue questions make sure student's thinking clear students sure time kind practice example lisa student calm paragraph relaxed,91
01_004_12c_041,6,time anything text,2
01_004_12c_041,7,nervous palms sweaty hands clammy,4
01_004_12c_041,8,hmm,1
01_004_12c_041,9,use kind lie detector results say say point story see come next day lie detector results pointed next round good job feedback loops kind take piece students look give students opportunity find text questioning point keep questions,36
01_004_12c_041,12,realize yep right,3
01_004_12c_041,13,turn camera thing yep different exact students minds know great alright,11
01_004_12c_042,1,hey go,1
01_004_12c_042,2,good,1
01_004_12c_042,3,things beginning students textual evidence nervous think nervous excited new job today talk students wrong answer build session model students wrong answer first chat something see follow excited new job incorrect answer say evidence text tell great job give wrong evidence wrong claim give evidence wrong see thinking give second opportunity go text give right answer say evidence text something different evidence text tell something different ethan answer wrong thathe needs go try,92
01_004_12c_042,4,mmhm,1
01_004_12c_042,5,help practice textual evidence additional help guide read paragraph learn excited good job part chance opportunity go text,21
01_004_12c_042,6,mmhm,1
01_004_12c_042,8,hm,0
01_004_12c_042,9,process model,2
01_004_12c_042,10,opportunity practice text agency response versus part text seek,6
01_004_12c_042,11,practice teacher ask likely feeling lie detector results student ask question ready,22
01_004_12c_042,12,likely feeling lie detector results,9
01_004_12c_042,13,calm,1
01_004_12c_042,14,think,1
01_004_12c_042,15,paragraph,1
01_004_12c_042,16,something text tell something different,5
01_004_12c_042,17,paragraph heart chest nervous,7
01_004_12c_042,18,mmhm something different learn text good job,7
01_004_12c_042,19,scene great job model great practice great practice run practice simulation,11
01_004_12c_042,21,get opportunity simulation beginning questions,6
01_004_12c_042,22,think,1
01_004_12c_047,1,go,0
01_004_12c_047,2,questions prepared first time,3
01_004_12c_047,3,nice tone like warm calm environment space students make errors commend presence work something spaces push spaces beginning nervous correct answer nervous cue go find textual evidence prove thinking make visual spaces students questions answer answer text go today focus text evidence piece use use,42
01_004_12c_047,5,students claim enough,2
01_004_12c_047,6,understand confusion misconception,3
01_004_12c_047,7,claim help understand confusion wrong show model student question question wrong text evidence something right wrong start chat nervous correct answer make sure thinking visual ask say textual evidence tell thank textual evidence tell let say wrong excited new role say textual evidence tell tell tell,63
01_004_12c_047,8,understand lack knowledge vocabulary understand background knowledge idea,3
01_004_12c_047,9,let practice teacher ask likely feeling lie detector result student,17
01_004_12c_047,10,likely feeling lie detector results,9
01_004_12c_047,11,nervous,1
01_004_12c_047,12,thank use text evidence show,6
01_004_12c_047,13,paragraph know paragraph nervous,4
01_004_12c_047,14,job text explain answer,5
01_004_12c_047,15,something wrong correct great job log job questions excited see implement next simulation ready try next simulation,13
01_004_12c_047,16,ask quick question,3
01_004_12c_047,17,go,0
01_004_12c_047,18,incorrect answer show answer students misconceptions right answer clarify point part text like happy moment help students understand correct answer,26
01_004_12c_047,19,students struggle get right answer lot times teachers heavy lifting answer correct students hard lifting find answer work skills find textual evidence figure answer correct incorrect wait students answer students conclusion give answer,33
01_004_12c_047,20,ideas,1
01_004_12c_047,21,struggle get answers end confirm deny,3
01_004_12c_047,22,awesome thank,2
01_004_12c_047,23,worries great question second chance scenario beginning additional questions,9
01_004_12c_047,25,ready get started let know say begin simulation start next round,11
01_004_12c_047,26,ready,1
01_004_12c_047,27,alright,1
01_004_12c_048,1,think,1
01_004_12c_048,2,first time little first question look wrong paragraph go second student wrong area lie detector results kind fed next question,19
01_004_12c_048,3,agree like good job discussion students text evidence something wrong glance let clarify misconception challenging thing feel skip important bring misconceptions think little hard think work kind things round first example wrong part text line kind alludes nervous tell look text ask questions students look text feedback loop paragraph understand point text find ask questions text example say appropriate someone first day feeling lie detector result let go look text kind redirect specific point text question actual paragraph,90
01_004_12c_048,5,see difference,1
01_004_12c_048,6,sense um,2
01_004_12c_048,7,go read lie detector test go end story find part nervous hands clammy heart's pounding,15
01_004_12c_048,9,kind,1
01_004_12c_048,10,sorry,1
01_004_12c_048,11,ask question,3
01_004_12c_048,12,lie detector part text beginning question feel moment lie detector results scaffold part able find part text,16
01_004_12c_048,13,good point students able find quick text student able wrong part wait time paragraph,16
01_004_12c_048,15,direct everybody read think excited sort like questions read heart's pounding nervous,14
01_004_12c_048,16,kind answer,2
01_004_12c_048,17,ask question valid new student intern respond line,10
01_004_12c_048,18,sorry wait sorry new student intern sorry oh ava,11
01_004_12c_048,19,couple times,3
01_004_12c_048,20,attention names,1
01_004_12c_048,22,ask new student intern respond sense kind half right student inter know say know show text first line,18
01_004_12c_048,24,keep find appropriate response,2
01_004_12c_048,25,reading paragraph take second half something text,4
01_004_12c_048,27,tell paragraph student intern want make sure keep reading something keep reading author something think student intern,19
01_004_12c_048,29,give little bit time look text paragraph,9
01_004_12c_048,31,ask good points set timer time time minutes,10
01_004_12c_048,33,terrible timer,1
01_004_12c_048,34,worries,1
01_004_12c_048,35,um thank keep digging work go,3
01_004_12c_048,36,great,1
01_004_12c_048,37,righty,0
01_004_12c_053,1,hey,1
01_004_12c_053,2,hi,0
01_004_12c_053,3,excited try something little bit different today start great things let get notes beginning correct answer potential evidence tell tell evidence text probed give textual avidence wrong answer give textual evidence thing textual evidence great job second thing find find text astudent intern anything text new student intern high level question opportunity go text look additional evidence find additional evidence look paragraph see many many scaffolds support get correct answer great job today work student descriptive feedback students great answer,85
01_004_12c_053,5,name something good student today,3
01_004_12c_053,6,students thorough explanation multiple points text making inferences,4
01_004_12c_053,7,thank response great inference model put text see give descriptive feedback tell students good response great response students able replicate great response reporter text secretive talk class paragraph great answer right,30
01_004_12c_053,8,mhmm,0
01_004_12c_053,9,response great job way claim reporter claim textual evidence show proof answer key things inference provide inference inference claim situation textual evidence descriptive feedback way able name,28
01_004_12c_053,10,productive something remember like models students answers look components answer substantial,7
01_004_12c_053,11,practice practice use ask think think think give answer give descriptive response question think,17
01_004_12c_053,12,think,1
01_004_12c_053,13,spy paragraph know cover student intern lie spies identities,11
01_004_12c_053,14,great response way good inference spy textual evidence support answer,12
01_004_12c_053,15,claim job textual evidence practice time practice scenario um questions scenario beginning,16
01_004_12c_053,16,think full thing time,3
01_004_12c_053,17,full thing time,2
01_004_12c_054,1,go,0
01_004_12c_054,3,something highlight student question right student question sure ask text text find way super great consistent good point student correct answer beginning kind clues tells feel nervous great clever question help make connection help find warrant interesting today practice practice students incorrect answer incorrect answer today drop model model model first thing drop model chat follow,66
01_004_12c_054,4,student excited new job incorrect answer right ask thank tell thank evidence text tell give wrong evidence text least able make connection evidence good skill thing ask evidence text tell something different cue eat rethink answer push go text find additional evidence evidence strong big skill practice kids give opportunity find textual evidence second time strong moment student find evidence second time direct evidence paragraph learn approach,78
01_004_12c_054,5,scaffolded kind wrong answer go different student right answer like warrant answer kind something text thing scaffolded individual student,18
01_004_12c_054,6,great job notice simulation practice teacher student ask likely feeling lie detector results respond,23
01_004_12c_054,7,right likely feel lie detector results,10
01_004_12c_054,8,calm,1
01_004_12c_054,9,calm right thank evidence text calm,9
01_004_12c_054,10,paragraph,1
01_004_12c_054,11,anything text tell something different,5
01_004_12c_054,12,paragraph right heart chest nervous,7
01_004_12c_054,13,heart chest nervous nervous paragraph tells,9
01_004_12c_054,14,scene great job scale scaffold scaffold get writing practice second simulation chance simulation beginning questions,16
01_004_12c_054,15,think,1
01_004_12c_055,1,feel teacher,2
01_004_12c_055,3,think feel,2
01_004_12c_055,4,try give student chance speak refer text wish placeholders,5
01_004_12c_055,5,agree text lot important students know answers text part good reader inferences spy reporter question able go text find evidence text good job something text sorry timer bad um ensure students misconceptions misconceptions kind model think like scaffold way students misconceptions couple misconceptions students able identify,50
01_004_12c_055,6,think,1
01_004_12c_055,7,purposes time misconceptions able identify misconceptions first question feeling lie detector test first student nervous evidence appropriate answer next student excited evidence possible answer um make sure kind guide student recognize possible let student look look question question big questions lie detector results question student look different part text answer see kind different possible answer someone building know lie detector results lie detector results kind pivots students cool place work leeson exact situation second misconception student intern little bit job kind answer something text line something text cover give information students ask information difference,101
01_004_12c_055,8,sense guide find right spot sure,5
01_004_12c_055,9,couple times say kind go different directions lifting students read paragraph necessary start tell paragraph student intern someplace text student intern way kind look text little student come paragraph first little bit student look text find,41
01_004_12c_055,10,sense,1
01_004_12c_055,11,student um question student hand calm say response,10
01_004_12c_055,12,say ask find sort textual evidence say find text,10
01_004_12c_055,13,say paragraph relaxed,5
01_004_12c_055,14,kind reference lie detector safe right lie detector feel,9
01_004_12c_055,15,prompt go text hands clammy heart's pounding versus certain afterwards great way say second round minutes fast focus students look evidence text evidence sounds good,30
01_004_12c_055,16,sounds good,3
01_004_12c_055,17,right questions,2
01_004_12c_055,19,awesome,1
01_004_12c_057,1,sorry let turn camera think,6
01_004_12c_057,3,agree like commend great job students sure able give response text evidence back important students opportunity use text evidence support answers foundational reading skill make sure able connect question text explanation similar good job students something identify incorrect answer incorrect kind glance say good idea kind go next question misconception head kind piggyback something work round address misconception responses excited student intern paragraph kind tell students look explain answer incorrect kind turn feedback loop questions ask students work clarify misconception figure answer incorrect make sense,100
01_004_12c_057,4,paragraph something oh look text see lie detector results,10
01_004_12c_057,5,right um students students evidence thing cool place work way strong sure start new job say question lie detector results know part story like look find part story like start reading say think kind point right direction ask find information student's minutes like know know say paragraph paragraph start kind point question say question lie detector results find part story way time go look clarify misconception like think think excited something different way opportunity students work,90
01_004_12c_057,7,new student intern question cover able kind ask time,12
01_004_12c_057,8,um ask anything like identity,3
01_004_12c_057,9,say begin first question line statement correct say anything text make think identity something kind dig things bring lie detector paragraph cover give kind opportunity go idea like question keep reading time little bit pretend simulation question hand calm say,38
01_004_12c_057,10,respond respond,2
01_004_12c_057,11,ask calm like pretend student respond,7
01_004_12c_057,12,think calm situation paragraph relax end good point bring anything happen find tell feeling lie sector results remember story,18
01_004_12c_057,13,student role purpose time go right lie detector results look lie detector results misunderstanding round simulation seconds kind questions whole thing students minutes give questions,29
01_004_12c_057,14,good,1
01_004_12c_057,15,righty,0
01_004_12c_058,1,go feel,1
01_004_12c_058,2,good track time minutes,4
01_004_12c_058,3,timer lose track time students textual evidence example beginning jasmine like want expand think nervous thing wrong answer perfect excited new job excited want tell go text find textual evidence good job make thinking visual text work today work students misunderstandings students wrong answers think teachers students,59
01_004_12c_058,4,um encourage know rethink look texts oh wrong kind let like dive little bit part see,13
01_004_12c_058,5,hear lawnmower little mesee close window little model students misunderstood excited new job response thank evidence text tell ethan's give evidence thinking answer wrong text evidence wrong textual evidence good skill important text second time evidence text tell something different something evidence text tell something different rethink answer look additional text text second time say paragraph learn chance find textual evidence twice paragraph read third time purpose create culture things wrong struggle get place let,88
01_004_12c_058,6,work come answer important like kind process text closer know read part bat thinking process evidence evidence,16
01_004_12c_058,7,right use chat practice student teacher ask first question likely feeling lie detector results student,24
01_004_12c_058,8,likely feel lie detector results,9
01_004_12c_058,9,calm,1
01_004_12c_058,10,evidence text tell calm,6
01_004_12c_058,11,paragraph calm happy,3
01_004_12c_058,12,evidence text tell something different feeling,8
01_004_12c_058,13,paragraph heart loud chest nervous,6
01_004_12c_058,14,great think heart pounding signify nervous moment answer,8
01_004_12c_058,15,great job tone perfect warm environment make mistakes groups excited see try try skill next simulation ready dive second simulation right chance try new try try simulation beginning questions,31
01_004_12c_058,16,think,1
01_004_12c_058,17,go start simulation,2
01_004_12c_059,1,think,1
