term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,dfidf
simulation,350,0.004157312713062277,7.9101330130972025,10,NN,3,"{'NNP', 'VB', 'NN'}",0,simul,simul,sim,302,3.70190885782089,0.16411271185163934,644.9629575769436,0.0,3.70190885782089,1117.9764750619088
see,348,0.004133556640416206,7.918400629080803,3,VB,3,"{'VB', 'VBP', 'NN'}",0,see,see,see,299,3.716311922947864,0.12321607721576437,484.2391834579548,0.0,3.716311922947864,1111.1772649614113
little,341,0.004050410386154961,7.947716195905358,6,JJ,2,"{'RB', 'JJ'}",0,littl,littl,littl,287,3.775406670470281,0.11852060525644668,465.7859786578367,0.0,3.775406670470281,1083.5417144249707
nervous,338,0.004014776277185855,7.960464688647347,7,JJ,1,{'JJ'},0,nervou,nervous,nerv,253,3.9573200224516585,0.14878881580470135,584.7400461124763,0.0,3.9573200224516585,1001.2019656802696
try,337,0.0040028982408628205,7.964739343747673,3,VB,4,"{'NNP', 'VB', 'VBP', 'NN'}",0,tri,tri,try,269,3.8688512345893447,0.12965685351566192,509.55143431655233,0.0,3.8688512345893447,1040.7209821045337
practice,327,0.0038841178776324696,8.008197299431448,8,NN,1,{'NN'},0,practic,practic,pract,260,3.917945784117514,0.12263367016783856,481.9503237596061,0.0,3.917945784117514,1018.6659038705536
need,312,0.0037059473327869436,8.075941906067282,4,VBP,3,"{'VB', 'VBP', 'NN'}",0,need,need,nee,250,3.974529312483882,0.10811068975230079,424.87501072654226,0.0,3.974529312483882,993.6323281209704
job,305,0.0036228010785256982,8.108678692479282,3,NN,1,{'NN'},0,job,job,job,230,4.094823546201593,0.09049528684957472,355.64647731882883,0.0,4.094823546201593,941.8094156263664
also,304,0.003610923042202663,8.113416611485945,4,RB,1,{'RB'},0,also,also,also,244,4.009576259583083,0.0862839039307703,339.09574244792725,0.0,4.009576259583083,978.3366073382723
look,299,0.0035515328605874876,8.137342450731426,4,VB,4,"{'VB', 'VBP', 'NN', 'RBR'}",0,look,look,look,221,4.152411037754537,0.09875471788949791,388.10604130572705,0.0,4.152411037754537,917.6828393437527
excited,291,0.003456508570003207,8.176468782021248,7,JJ,4,"{'FW', 'VBN', 'VBD', 'JJ'}",0,excit,excit,excit,196,4.3256037530307605,0.09121467465000481,358.4736713745195,0.0,4.3256037530307605,847.818335594029
says,289,0.003432752497357137,8.186418442428852,4,VBZ,1,{'VBZ'},0,say,say,say,229,4.101109809049025,0.1331168889230285,523.1493734675015,0.0,4.101109809049025,939.1541462722267
asking,280,0.0033258501704498213,8.232061107984565,6,VBG,1,{'VBG'},0,ask,ask,ask,218,4.172129272369043,0.08728503746444476,343.03019723526813,0.0,4.172129272369043,909.5241813764513
norms,278,0.003302094097803751,8.242403052206024,5,NNS,3,"{'NNS', 'VBZ', 'JJ'}",0,norm,norm,norm,213,4.2056039769201305,0.11937339594590825,469.13744606741915,0.0,4.2056039769201305,895.7936470839878
lie,278,0.003302094097803751,8.242403052206024,3,NN,6,"{'VBZ', 'NNP', 'NN', 'JJ', 'NNS', 'VB'}",0,lie,lie,lie,214,4.198846610744822,0.12589091759551227,494.75130615036437,0.0,4.198846610744822,898.553174699392
saying,276,0.003278338025157681,8.252819668151362,6,VBG,1,{'VBG'},0,say,say,say,238,4.045495833838025,0.08436248916513028,331.54458241896214,0.0,4.045495833838025,962.82800845345
read,275,0.003266459988834646,8.258056316517509,4,VB,7,"{'VBN', 'NNP', 'VBP', 'NN', 'VBD', 'JJ', 'VB'}",0,read,read,read,204,4.267888255174474,0.10310879427371264,405.2175614956909,0.0,4.267888255174474,870.6492040555926
thinking,268,0.0031833137345734005,8.295254934471759,8,VBG,3,"{'VBG', 'JJ', 'NN'}",0,think,think,think,198,4.310956977066359,0.08362400114519106,328.64232450060064,0.0,4.310956977066359,853.5694814591392
work,264,0.00313580158928126,8.316950005571078,4,VB,3,"{'VB', 'VBP', 'NN'}",0,work,work,work,202,4.282102114394174,0.08466692615318527,332.7410197820182,0.0,4.282102114394174,864.9846271076232
yes,264,0.00313580158928126,8.316950005571078,3,UH,7,"{'UH', 'PRP', 'NNP', 'IN', 'NN', 'RB', 'NNS'}",0,ye,yes,ye,248,3.9861172867590935,0.1607056981204116,631.5733936132185,0.0,3.9861172867590935,988.5570871162552
even,259,0.0030764114076660847,8.344535837242978,4,RB,2,"{'VB', 'RB'}",0,even,even,ev,222,4.145897730795863,0.07959764294876831,312.8187367886596,0.0,4.145897730795863,920.3892962366815
still,249,0.002957631044435734,8.401342192861451,5,RB,1,{'RB'},0,still,still,stil,199,4.30368897660232,0.08626499722385665,339.0214390897572,0.0,4.30368897660232,856.4341063438617
detector,247,0.002933874971789664,8.412976893344853,8,NN,4,"{'NNP', 'VBP', 'NN', 'JJ'}",0,detector,detector,detect,194,4.340400754958841,0.11665882204550515,458.46917063883416,0.0,4.340400754958841,842.0377464620152
next,242,0.0028744847901744884,8.442480887654936,4,JJ,3,"{'IN', 'RB', 'JJ'}",0,next,next,next,213,4.2056039769201305,0.08922248234557976,350.64435561812843,0.0,4.2056039769201305,895.7936470839878
teacher,237,0.002815094608559313,8.472600876031272,7,NN,10,"{'CC', 'NNP', 'DT', 'VBP', 'NN', 'RB', 'PRP$', 'IN', 'VB', 'JJR'}",0,teacher,teacher,teach,212,4.212393142582769,0.12119425934927755,476.2934392426613,0.0,4.212393142582769,893.027346227547
help,233,0.0027675824632671727,8.49715798027525,4,VB,3,"{'VB', 'VBP', 'NN'}",0,help,help,help,180,4.448460500816294,0.07430782433433807,292.0297496339492,0.0,4.448460500816294,800.722890146933
redirection,233,0.0027675824632671727,8.49715798027525,11,NN,1,{'NN'},0,redirect,redirect,redirect,175,4.48910248531364,0.08041214943712617,316.0197472879054,0.0,4.48910248531364,785.592934929887
making,227,0.002696314245328962,8.534795637638616,6,VBG,3,"{'VBG', 'JJ', 'NN'}",0,make,make,mak,175,4.48910248531364,0.08051755760970465,316.43400140613886,0.0,4.48910248531364,785.592934929887
bit,226,0.0026844362090059273,8.541165162514343,3,NN,2,"{'NN', 'RB'}",0,bit,bit,bit,200,4.296457407371244,0.0872099778250506,342.7352128524491,0.0,4.296457407371244,859.2914814742487
round,220,0.0026131679910677166,8.57998441140487,5,NN,7,"{'VBZ', 'IN', 'NN', 'RB', 'VBD', 'JJ', 'VB'}",0,round,round,round,190,4.370457988815021,0.10713350145690925,421.03466072565277,0.0,4.370457988815021,830.387017874854
talk,219,0.0026012899547446814,8.586557065328357,4,VB,3,"{'VB', 'VBP', 'NN'}",0,talk,talk,talk,179,4.4564978198817125,0.09296690254015065,365.35992698279244,0.0,4.4564978198817125,797.7131097588265
start,216,0.0025656558457755763,8.606456622766062,5,VB,4,"{'NNP', 'VB', 'VBP', 'NN'}",0,start,start,start,192,4.355351096424813,0.10141840060083561,398.57431436128337,0.0,4.355351096424813,836.2274105135641
another,211,0.002506265664160401,8.640244936222345,7,DT,1,{'DT'},0,anoth,anoth,anoth,174,4.49737010129724,0.08394503809328761,329.9039997066199,0.0,4.49737010129724,782.5423976257198
intern,211,0.002506265664160401,8.640244936222345,6,NN,5,"{'VBZ', 'IN', 'NN', 'JJ', 'VB'}",0,intern,intern,intern,123,4.997799091806729,0.08050596642795829,316.388448061876,0.0,4.997799091806729,614.7292882922277
calm,211,0.002506265664160401,8.640244936222345,4,JJ,8,"{'VBN', 'VBP', 'NN', 'RB', 'VBD', 'JJ', 'NNS', 'VB'}",0,calm,calm,calm,170,4.530922661008267,0.11803155097501764,463.86399533181896,0.0,4.530922661008267,770.2568523714054
trying,205,0.0024349974462221907,8.681864025424085,6,VBG,1,{'VBG'},0,tri,tri,try,165,4.573991382900153,0.07305721309124254,287.11484744858313,0.0,4.573991382900153,754.7085781785253
wrong,205,0.0024349974462221907,8.681864025424085,5,JJ,5,"{'IN', 'VBP', 'RB', 'JJ', 'VB'}",0,wrong,wrong,wrong,142,4.790566477641287,0.06354231356533853,249.7212923117807,0.0,4.790566477641287,680.2604398250627
find,204,0.0024231194098991555,8.688918782958035,4,VB,3,"{'VB', 'VBP', 'NN'}",0,find,find,find,152,4.692386083702384,0.06966504603214041,273.78363090631206,0.0,4.692386083702384,713.2426847227623
textual,202,0.002399363337253085,8.703132642177737,7,JJ,1,{'JJ'},0,textual,textual,text,97,5.340400754958841,0.06782000514471237,266.53262021871967,0.0,5.340400754958841,518.0188732310075
put,202,0.002399363337253085,8.703132642177737,3,VB,5,"{'VBN', 'VBP', 'NN', 'VBD', 'VB'}",0,put,put,put,167,4.556609304671917,0.11405564562947444,448.2386873238348,0.0,4.556609304671917,760.9537538802101
using,200,0.002375607264607015,8.717487935154805,5,VBG,1,{'VBG'},0,use,use,us,158,4.636532848968866,0.06934733268293186,272.5350174439226,0.0,4.636532848968866,732.5721901370808
makes,197,0.00233997315563791,8.739292305473155,5,VBZ,2,"{'NNS', 'VBZ'}",0,make,make,mak,166,4.565274165799044,0.09202509137212345,361.658609092445,0.0,4.565274165799044,757.8355115226414
instead,193,0.00229246101034577,8.76888708766145,7,RB,1,{'RB'},0,instead,instead,instead,159,4.627430641861613,0.0728327295207648,286.23262701660576,0.0,4.627430641861613,735.7614720559965
results,191,0.0022687049376996994,8.783915296893783,7,NNS,1,{'NNS'},0,result,result,result,158,4.636532848968866,0.09920122747986032,389.86082399585166,0.0,4.636532848968866,732.5721901370808
things,190,0.0022568269013766643,8.791488516598584,6,NNS,1,{'NNS'},0,thing,thing,thing,169,4.5394341608637845,0.06537392864675605,256.91953958175134,0.0,4.5394341608637845,767.1643731859796
thank,189,0.0022449488650536295,8.799101700708459,5,NN,6,"{'NNP', 'IN', 'VBP', 'NN', 'JJ', 'VB'}",0,thank,thank,thank,163,4.591585442914891,0.11547782849428666,453.82786598254654,0.0,4.591585442914891,748.4284271951271
important,188,0.0022330708287305943,8.806755273251893,9,JJ,1,{'JJ'},0,import,import,import,153,4.682925754453317,0.060006261836077095,235.8246090157828,0.0,4.682925754453317,716.4876404313575
exactly,187,0.002221192792407559,8.814449665041895,7,RB,2,"{'VB', 'RB'}",0,exactli,exact,exact,166,4.565274165799044,0.06869419242335603,269.9681762237891,0.0,4.565274165799044,757.8355115226414
whistling,185,0.0021974367197614892,8.829962664413218,9,VBG,3,"{'VBG', 'JJ', 'NN'}",0,whistl,whistl,whistl,104,5.239873879004877,0.07487254203182579,294.24909018507526,0.0,5.239873879004877,544.9468834165073
class,185,0.0021974367197614892,8.829962664413218,5,NN,1,{'NN'},0,class,class,class,151,4.70190885782089,0.07844300952427381,308.2810274303963,0.0,4.70190885782089,709.9882375309544
point,182,0.0021618026107923837,8.853549484730834,5,NN,6,"{'VBN', 'VBP', 'NN', 'VBD', 'JJ', 'VB'}",0,point,point,point,156,4.65491137828372,0.07190342878854485,282.5804751389816,0.0,4.65491137828372,726.1661750122604
use,181,0.002149924574469349,8.861498237846325,3,VB,6,"{'IN', 'NNP', 'VBP', 'NN', 'RB', 'VB'}",0,use,use,us,153,4.682925754453317,0.06494813624201551,255.24617543112086,0.0,4.682925754453317,716.4876404313575
sometimes,181,0.002149924574469349,8.861498237846325,9,RB,7,"{'VBZ', 'VBP', 'NN', 'RB', 'JJ', 'NNS', 'VB'}",0,sometim,sometim,sometim,148,4.730860231517019,0.06587671064631069,258.8954728400013,0.0,4.730860231517019,700.1673142645187
part,180,0.0021380465381463138,8.869491028599857,4,NN,1,{'NN'},0,part,part,part,144,4.770388595703657,0.06627241633880603,260.45059621150756,0.0,4.770388595703657,686.9359577813266
conversation,178,0.0021142904655002434,8.885610693963134,12,NN,2,"{'VBP', 'NN'}",0,convers,convers,convers,150,4.7114949066500875,0.07176239037334084,282.02619416722956,0.0,4.7114949066500875,706.7242359975131
able,174,0.002066778320208103,8.918400629080804,4,JJ,1,{'JJ'},0,abl,abl,abl,147,4.740641252309604,0.06044853281549627,237.56273396490002,0.0,4.740641252309604,696.8742640895118
different,174,0.002066778320208103,8.918400629080804,9,JJ,1,{'JJ'},0,differ,differ,diff,148,4.730860231517019,0.07036229777011674,276.5238302365591,0.0,4.730860231517019,700.1673142645187
lot,173,0.002054900283885068,8.926715897292807,3,NN,1,{'NN'},0,lot,lot,lot,143,4.78044226036758,0.06765082544485375,265.86774399827505,0.0,4.78044226036758,683.603243232564
went,171,0.002031144211238998,8.943491610043633,4,VBD,1,{'VBD'},0,went,went,went,160,4.618385502258606,0.1229409623365339,483.15798198257806,0.0,4.618385502258606,738.9416803613769
two,168,0.001995510102269893,8.96902670215077,3,CD,1,{'CD'},0,two,two,two,149,4.721145076683807,0.07744647864797428,304.3646610865393,0.0,4.721145076683807,703.4506164258872
got,167,0.0019836320659468577,8.977639832455479,3,VBD,4,"{'NNP', 'VBN', 'VBP', 'VBD'}",0,got,got,got,147,4.740641252309604,0.09158454301390098,359.9272540446304,0.0,4.740641252309604,696.8742640895118
new,166,0.0019717540296238225,8.986304693582607,3,JJ,2,"{'NNP', 'JJ'}",0,new,new,new,140,4.8110305802010025,0.05422069920475588,213.08734787469058,0.0,4.8110305802010025,673.5442812281403
asked,166,0.0019717540296238225,8.986304693582607,5,VBD,3,"{'VBN', 'VB', 'VBD'}",0,ask,ask,ask,140,4.8110305802010025,0.05531912697494461,217.40416901153247,0.0,4.8110305802010025,673.5442812281403
four,165,0.0019598759933007874,8.995021910683715,4,CD,1,{'CD'},0,four,four,four,118,5.057670547784127,0.07151462847082332,281.0524898903353,0.0,5.057670547784127,596.805124638527
thought,160,0.001900485811685612,9.039416030042169,7,VBD,5,"{'VBN', 'VBP', 'NN', 'VBD', 'JJ'}",0,thought,thought,thought,131,4.906890595608519,0.0560837862497073,220.4092799613497,0.0,4.906890595608519,642.8026680247159
reading,153,0.0018173395574243667,9.10395628223688,7,VBG,3,"{'VBG', 'JJ', 'NN'}",0,read,read,read,121,5.021450359871374,0.07496784648099093,294.62363667029445,0.0,5.021450359871374,607.5954935444363
clear,151,0.0017935834847782964,9.122939385604452,5,JJ,3,"{'VB', 'VBP', 'JJ'}",0,clear,clear,clear,124,4.986117286759094,0.053020261662017044,208.36962833172723,0.0,4.986117286759094,618.2785435581277
keep,150,0.0017817054484552614,9.13252543443365,4,VB,5,"{'NNP', 'VBP', 'NN', 'JJ', 'VB'}",0,keep,keep,keep,121,5.021450359871374,0.0669441635958498,263.0905629316897,0.0,5.021450359871374,607.5954935444363
sort,150,0.0017817054484552614,9.13252543443365,4,NN,5,"{'VBP', 'NN', 'RB', 'JJ', 'VB'}",0,sort,sort,sort,107,5.198846610744822,0.054739285921061934,215.1253936697736,0.0,5.198846610744822,556.276587349696
heart,146,0.001734193303163121,9.171519566049513,5,NN,1,{'NN'},0,heart,heart,heart,115,5.094823546201593,0.09334654554272442,366.8519239829069,0.0,5.094823546201593,585.9047078131832
actually,145,0.001722315266840086,9.181435034914596,8,RB,1,{'RB'},0,actual,actual,act,124,4.986117286759094,0.06060400272323134,238.1737307022994,0.0,4.986117286759094,618.2785435581277
name,144,0.001710437230517051,9.191419123487218,4,NN,5,"{'VBP', 'NN', 'RB', 'JJ', 'VB'}",0,name,name,nam,115,5.094823546201593,0.0633766581646471,249.070266587063,0.0,5.094823546201593,585.9047078131832
